Transaction ID,Date,Month,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
180,1/1/2023,January,CUST180,Male,41,Clothing,3,300,900
522,1/1/2023,January,CUST522,Male,46,Beauty,3,500,1500
559,1/1/2023,January,CUST559,Female,40,Clothing,4,300,1200
163,1/2/2023,January,CUST163,Female,64,Clothing,3,50,150
303,1/2/2023,January,CUST303,Male,19,Electronics,3,30,90
421,1/2/2023,January,CUST421,Female,37,Clothing,3,500,1500
979,1/2/2023,January,CUST979,Female,19,Beauty,1,25,25
610,1/3/2023,January,CUST610,Female,26,Beauty,2,300,600
32,1/4/2023,January,CUST032,Male,30,Beauty,3,30,90
231,1/4/2023,January,CUST231,Female,23,Clothing,3,50,150
683,1/4/2023,January,CUST683,Male,38,Beauty,2,500,1000
367,1/5/2023,January,CUST367,Female,57,Electronics,1,50,50
391,1/5/2023,January,CUST391,Male,19,Beauty,2,25,50
432,1/5/2023,January,CUST432,Female,60,Electronics,2,500,1000
150,1/6/2023,January,CUST150,Female,58,Electronics,4,30,120
845,1/6/2023,January,CUST845,Male,54,Clothing,1,500,500
797,1/7/2023,January,CUST797,Male,40,Clothing,3,25,75
921,1/7/2023,January,CUST921,Male,51,Electronics,3,25,75
291,1/8/2023,January,CUST291,Male,60,Clothing,2,300,600
907,1/8/2023,January,CUST907,Female,45,Electronics,1,25,25
860,1/9/2023,January,CUST860,Male,63,Clothing,4,50,200
184,1/10/2023,January,CUST184,Male,31,Electronics,4,50,200
734,1/10/2023,January,CUST734,Female,27,Clothing,1,30,30
225,1/11/2023,January,CUST225,Female,57,Beauty,4,25,100
679,1/11/2023,January,CUST679,Female,18,Beauty,3,30,90
746,1/11/2023,January,CUST746,Female,33,Clothing,3,30,90
3,1/13/2023,January,CUST003,Male,50,Electronics,1,30,30
464,1/13/2023,January,CUST464,Male,38,Electronics,2,300,600
484,1/13/2023,January,CUST484,Female,19,Clothing,4,300,1200
591,1/13/2023,January,CUST591,Male,53,Electronics,4,25,100
21,1/14/2023,January,CUST021,Female,50,Beauty,1,500,500
708,1/14/2023,January,CUST708,Female,43,Beauty,3,300,900
713,1/14/2023,January,CUST713,Male,34,Beauty,3,25,75
768,1/14/2023,January,CUST768,Female,24,Beauty,3,25,75
499,1/15/2023,January,CUST499,Male,46,Beauty,2,30,60
697,1/15/2023,January,CUST697,Male,53,Clothing,1,500,500
831,1/15/2023,January,CUST831,Male,27,Electronics,4,25,100
15,1/16/2023,January,CUST015,Female,42,Electronics,4,500,2000
743,1/16/2023,January,CUST743,Female,34,Beauty,4,500,2000
14,1/17/2023,January,CUST014,Male,64,Clothing,4,30,120
103,1/17/2023,January,CUST103,Female,59,Clothing,1,25,25
238,1/17/2023,January,CUST238,Female,39,Beauty,1,500,500
986,1/17/2023,January,CUST986,Female,49,Clothing,2,500,1000
438,1/19/2023,January,CUST438,Female,42,Clothing,1,30,30
475,1/20/2023,January,CUST475,Male,26,Clothing,3,25,75
505,1/20/2023,January,CUST505,Male,24,Beauty,1,50,50
344,1/21/2023,January,CUST344,Female,42,Beauty,1,30,30
448,1/21/2023,January,CUST448,Female,54,Beauty,2,30,60
742,1/21/2023,January,CUST742,Female,38,Electronics,4,500,2000
445,1/22/2023,January,CUST445,Female,53,Electronics,1,300,300
787,1/22/2023,January,CUST787,Male,41,Electronics,1,25,25
49,1/23/2023,January,CUST049,Female,54,Electronics,2,500,1000
420,1/23/2023,January,CUST420,Female,22,Clothing,4,500,2000
519,1/23/2023,January,CUST519,Female,36,Electronics,4,30,120
64,1/24/2023,January,CUST064,Male,49,Clothing,4,25,100
592,1/24/2023,January,CUST592,Female,46,Beauty,4,500,2000
912,1/24/2023,January,CUST912,Male,51,Beauty,3,50,150
134,1/25/2023,January,CUST134,Male,49,Electronics,1,50,50
288,1/26/2023,January,CUST288,Male,28,Clothing,4,30,120
323,1/26/2023,January,CUST323,Female,29,Beauty,3,300,900
618,1/26/2023,January,CUST618,Female,27,Beauty,1,50,50
720,1/26/2023,January,CUST720,Female,56,Beauty,3,500,1500
415,1/27/2023,January,CUST415,Male,53,Clothing,2,30,60
736,1/27/2023,January,CUST736,Male,29,Clothing,4,25,100
929,1/27/2023,January,CUST929,Female,23,Beauty,3,25,75
264,1/28/2023,January,CUST264,Male,47,Clothing,3,300,900
913,1/28/2023,January,CUST913,Male,29,Electronics,3,30,90
940,1/28/2023,January,CUST940,Female,20,Electronics,1,30,30
101,1/29/2023,January,CUST101,Male,32,Clothing,2,300,600
189,1/30/2023,January,CUST189,Male,63,Beauty,1,50,50
317,1/30/2023,January,CUST317,Male,22,Electronics,3,30,90
322,1/30/2023,January,CUST322,Male,51,Electronics,1,500,500
329,1/30/2023,January,CUST329,Female,46,Electronics,4,25,100
235,1/31/2023,January,CUST235,Female,23,Electronics,2,500,1000
300,1/31/2023,January,CUST300,Female,19,Electronics,4,50,200
964,1/31/2023,January,CUST964,Male,24,Clothing,3,300,900
269,2/1/2023,February,CUST269,Male,25,Clothing,4,500,2000
320,2/1/2023,February,CUST320,Female,28,Electronics,4,300,1200
673,2/1/2023,February,CUST673,Female,43,Clothing,3,500,1500
142,2/2/2023,February,CUST142,Male,35,Electronics,4,300,1200
223,2/2/2023,February,CUST223,Female,64,Clothing,1,25,25
666,2/2/2023,February,CUST666,Male,51,Electronics,3,50,150
107,2/3/2023,February,CUST107,Female,21,Clothing,4,300,1200
933,2/3/2023,February,CUST933,Male,22,Beauty,1,30,30
237,2/4/2023,February,CUST237,Female,50,Beauty,2,500,1000
335,2/4/2023,February,CUST335,Female,47,Beauty,4,30,120
63,2/5/2023,February,CUST063,Male,57,Electronics,2,25,50
195,2/5/2023,February,CUST195,Male,52,Clothing,1,30,30
333,2/5/2023,February,CUST333,Female,54,Electronics,4,300,1200
379,2/5/2023,February,CUST379,Female,47,Clothing,1,25,25
490,2/5/2023,February,CUST490,Male,34,Clothing,3,50,150
530,2/5/2023,February,CUST530,Female,18,Electronics,4,30,120
740,2/5/2023,February,CUST740,Female,25,Beauty,4,50,200
793,2/5/2023,February,CUST793,Male,54,Beauty,1,30,30
85,2/6/2023,February,CUST085,Male,31,Clothing,3,50,150
232,2/6/2023,February,CUST232,Female,43,Beauty,1,25,25
240,2/6/2023,February,CUST240,Female,23,Beauty,1,300,300
993,2/6/2023,February,CUST993,Female,48,Electronics,3,50,150
366,2/7/2023,February,CUST366,Male,57,Clothing,2,50,100
372,2/7/2023,February,CUST372,Female,24,Beauty,3,500,1500
596,2/7/2023,February,CUST596,Female,64,Electronics,1,300,300
936,2/7/2023,February,CUST936,Male,57,Beauty,4,50,200
284,2/8/2023,February,CUST284,Male,43,Clothing,4,50,200
434,2/8/2023,February,CUST434,Female,43,Electronics,2,25,50
775,2/8/2023,February,CUST775,Female,46,Electronics,4,25,100
977,2/8/2023,February,CUST977,Female,35,Electronics,3,25,75
649,2/9/2023,February,CUST649,Female,58,Clothing,2,300,600
54,2/10/2023,February,CUST054,Female,38,Electronics,3,500,1500
68,2/10/2023,February,CUST068,Male,25,Electronics,1,300,300
192,2/10/2023,February,CUST192,Male,62,Beauty,2,50,100
331,2/11/2023,February,CUST331,Male,28,Electronics,3,30,90
346,2/11/2023,February,CUST346,Male,59,Clothing,2,500,1000
657,2/11/2023,February,CUST657,Male,40,Clothing,1,25,25
732,2/11/2023,February,CUST732,Male,61,Electronics,2,500,1000
972,2/11/2023,February,CUST972,Male,49,Beauty,4,25,100
714,2/12/2023,February,CUST714,Female,18,Clothing,1,500,500
193,2/13/2023,February,CUST193,Male,35,Beauty,3,500,1500
577,2/13/2023,February,CUST577,Male,21,Beauty,4,500,2000
848,2/13/2023,February,CUST848,Female,63,Clothing,3,25,75
945,2/13/2023,February,CUST945,Male,30,Beauty,1,25,25
11,2/14/2023,February,CUST011,Male,23,Clothing,2,50,100
821,2/14/2023,February,CUST821,Male,49,Electronics,1,300,300
133,2/16/2023,February,CUST133,Male,20,Electronics,3,300,900
16,2/17/2023,February,CUST016,Male,19,Clothing,3,500,1500
42,2/17/2023,February,CUST042,Male,22,Clothing,3,300,900
292,2/17/2023,February,CUST292,Male,20,Beauty,4,300,1200
416,2/17/2023,February,CUST416,Male,53,Electronics,4,500,2000
584,2/17/2023,February,CUST584,Female,27,Beauty,4,50,200
861,2/17/2023,February,CUST861,Female,41,Clothing,3,30,90
256,2/18/2023,February,CUST256,Male,23,Clothing,2,500,1000
44,2/19/2023,February,CUST044,Female,22,Clothing,1,25,25
257,2/19/2023,February,CUST257,Male,19,Beauty,4,500,2000
268,2/20/2023,February,CUST268,Female,28,Electronics,1,30,30
287,2/20/2023,February,CUST287,Male,54,Clothing,4,25,100
966,2/20/2023,February,CUST966,Male,60,Electronics,2,500,1000
70,2/21/2023,February,CUST070,Female,43,Clothing,1,300,300
371,2/21/2023,February,CUST371,Female,20,Beauty,1,25,25
900,2/21/2023,February,CUST900,Male,21,Clothing,2,30,60
8,2/22/2023,February,CUST008,Male,30,Electronics,4,25,100
41,2/22/2023,February,CUST041,Male,34,Clothing,2,25,50
454,2/22/2023,February,CUST454,Female,46,Beauty,1,25,25
780,2/22/2023,February,CUST780,Male,52,Electronics,2,25,50
920,2/22/2023,February,CUST920,Female,28,Beauty,3,25,75
396,2/23/2023,February,CUST396,Female,55,Beauty,1,30,30
168,2/24/2023,February,CUST168,Male,53,Clothing,1,300,300
400,2/24/2023,February,CUST400,Male,53,Clothing,4,50,200
611,2/24/2023,February,CUST611,Male,51,Beauty,3,500,1500
800,2/24/2023,February,CUST800,Male,32,Clothing,4,300,1200
272,2/25/2023,February,CUST272,Female,61,Electronics,2,50,100
473,2/25/2023,February,CUST473,Male,64,Beauty,1,50,50
506,2/25/2023,February,CUST506,Male,34,Beauty,3,500,1500
766,2/25/2023,February,CUST766,Male,38,Electronics,3,300,900
135,2/26/2023,February,CUST135,Male,20,Clothing,2,25,50
2,2/27/2023,February,CUST002,Female,26,Clothing,2,500,1000
158,2/27/2023,February,CUST158,Female,44,Electronics,2,300,600
185,2/27/2023,February,CUST185,Male,24,Clothing,1,25,25
433,2/27/2023,February,CUST433,Male,29,Beauty,4,50,200
152,2/28/2023,February,CUST152,Male,43,Electronics,4,500,2000
